archivo_fasta,metodo,repeticion,threads,schedule,longitud_A,longitud_B,match,mismatch,gap,tiempo_init_ms,tiempo_llenado_ms,tiempo_traceback_ms,tiempo_total_ms,puntuacion
datos/dna_128.fasta,secuencial,1,1,N/A,128,128,2,-1,-2,0.0999,0.4317,0.0437,0.5753,220
datos/dna_128.fasta,secuencial,1,1,N/A,128,128,2,-1,-2,0.1109,0.4083,0.0425,0.5617,220
datos/dna_128.fasta,secuencial,1,1,N/A,128,128,2,-1,-2,0.0984,0.4623,0.0435,0.6042,220
datos/dna_128.fasta,secuencial,1,1,N/A,128,128,2,-1,-2,0.0850,0.4503,0.0396,0.5748,220
datos/dna_128.fasta,secuencial,1,1,N/A,128,128,2,-1,-2,0.0923,0.3632,0.0382,0.4937,220
datos/dna_128.fasta,secuencial,1,1,N/A,128,128,2,-1,-2,0.0862,0.3630,0.0378,0.4870,220
datos/dna_128.fasta,secuencial,1,1,N/A,128,128,2,-1,-2,0.0867,0.3628,0.0383,0.4878,220
datos/dna_128.fasta,secuencial,1,1,N/A,128,128,2,-1,-2,0.0904,0.3632,0.0379,0.4915,220
datos/dna_128.fasta,secuencial,1,1,N/A,128,128,2,-1,-2,0.1332,0.3634,0.0395,0.5360,220
datos/dna_128.fasta,secuencial,1,1,N/A,128,128,2,-1,-2,0.0913,0.3631,0.0381,0.4925,220
datos/dna_128.fasta,secuencial,1,1,N/A,128,128,2,-1,-2,0.0891,0.3633,0.0383,0.4907,220
datos/dna_128.fasta,secuencial,1,1,N/A,128,128,2,-1,-2,0.0900,0.3722,0.0390,0.5012,220
datos/dna_128.fasta,secuencial,1,1,N/A,128,128,2,-1,-2,0.0873,0.3862,0.0390,0.5125,220
datos/dna_128.fasta,secuencial,1,1,N/A,128,128,2,-1,-2,0.0888,0.3627,0.0378,0.4893,220
datos/dna_128.fasta,secuencial,1,1,N/A,128,128,2,-1,-2,0.0866,0.3642,0.0389,0.4897,220
datos/dna_128.fasta,secuencial,1,1,N/A,128,128,2,-1,-2,0.0902,0.3626,0.0380,0.4908,220
datos/dna_128.fasta,secuencial,1,1,N/A,128,128,2,-1,-2,0.0909,0.4178,0.0381,0.5468,220
datos/dna_128.fasta,secuencial,1,1,N/A,128,128,2,-1,-2,0.0897,0.3624,0.0392,0.4913,220
datos/dna_128.fasta,secuencial,1,1,N/A,128,128,2,-1,-2,0.0904,0.3632,0.0384,0.4920,220
datos/dna_128.fasta,secuencial,1,1,N/A,128,128,2,-1,-2,0.0902,0.3627,0.0388,0.4916,220
datos/dna_128.fasta,secuencial,1,1,N/A,128,128,2,-1,-2,0.0908,0.3634,0.0381,0.4923,220
datos/dna_128.fasta,secuencial,1,1,N/A,128,128,2,-1,-2,0.0900,0.3626,0.0378,0.4904,220
datos/dna_128.fasta,secuencial,1,1,N/A,128,128,2,-1,-2,0.0866,0.3630,0.0379,0.4875,220
datos/dna_128.fasta,secuencial,1,1,N/A,128,128,2,-1,-2,0.0872,0.3630,0.0377,0.4879,220
datos/dna_128.fasta,secuencial,1,1,N/A,128,128,2,-1,-2,0.0872,0.3625,0.0380,0.4877,220
datos/dna_128.fasta,secuencial,1,1,N/A,128,128,2,-1,-2,0.0860,0.4926,0.0404,0.6191,220
datos/dna_128.fasta,secuencial,1,1,N/A,128,128,2,-1,-2,0.0897,0.3799,0.0386,0.5083,220
datos/dna_128.fasta,secuencial,1,1,N/A,128,128,2,-1,-2,0.0860,0.3645,0.0378,0.4883,220
datos/dna_128.fasta,secuencial,1,1,N/A,128,128,2,-1,-2,0.0911,0.3637,0.0388,0.4936,220
datos/dna_128.fasta,secuencial,1,1,N/A,128,128,2,-1,-2,0.0948,0.3637,0.0391,0.4975,220
datos/dna_128.fasta,secuencial,1,1,N/A,128,128,2,-1,-2,0.0903,0.3639,0.0382,0.4923,220
datos/dna_128.fasta,secuencial,1,1,N/A,128,128,2,-1,-2,0.0915,0.4109,0.0401,0.5425,220
datos/dna_128.fasta,secuencial,1,1,N/A,128,128,2,-1,-2,0.0904,0.4095,0.0404,0.5403,220
datos/dna_128.fasta,secuencial,1,1,N/A,128,128,2,-1,-2,0.0884,0.3632,0.0378,0.4894,220
datos/dna_128.fasta,secuencial,1,1,N/A,128,128,2,-1,-2,0.0904,0.3632,0.0384,0.4920,220
datos/dna_128.fasta,secuencial,1,1,N/A,128,128,2,-1,-2,0.0903,0.3874,0.0384,0.5161,220
datos/dna_128.fasta,secuencial,1,1,N/A,128,128,2,-1,-2,0.0867,0.4003,0.0395,0.5265,220
datos/dna_128.fasta,secuencial,1,1,N/A,128,128,2,-1,-2,0.0865,0.3635,0.0378,0.4877,220
datos/dna_128.fasta,secuencial,1,1,N/A,128,128,2,-1,-2,0.0863,0.3658,0.0383,0.4905,220
datos/dna_128.fasta,secuencial,1,1,N/A,128,128,2,-1,-2,0.0865,0.3807,0.0392,0.5064,220
datos/dna_128.fasta,secuencial,1,1,N/A,128,128,2,-1,-2,0.0935,0.3652,0.0398,0.4985,220
datos/dna_128.fasta,secuencial,1,1,N/A,128,128,2,-1,-2,0.0919,0.3634,0.0388,0.4941,220
datos/dna_128.fasta,secuencial,1,1,N/A,128,128,2,-1,-2,0.1310,0.3635,0.0387,0.5332,220
datos/dna_128.fasta,secuencial,1,1,N/A,128,128,2,-1,-2,0.0990,0.3650,0.0390,0.5030,220
datos/dna_128.fasta,secuencial,1,1,N/A,128,128,2,-1,-2,0.0939,0.3633,0.0382,0.4954,220
datos/dna_128.fasta,secuencial,1,1,N/A,128,128,2,-1,-2,0.0897,0.3627,0.0381,0.4905,220
datos/dna_128.fasta,secuencial,1,1,N/A,128,128,2,-1,-2,0.0907,0.3828,0.0385,0.5120,220
datos/dna_128.fasta,secuencial,1,1,N/A,128,128,2,-1,-2,0.0868,0.3636,0.0379,0.4883,220
datos/dna_128.fasta,secuencial,1,1,N/A,128,128,2,-1,-2,0.0885,0.3637,0.0383,0.4905,220
datos/dna_128.fasta,secuencial,1,1,N/A,128,128,2,-1,-2,0.0868,0.4687,0.0417,0.5971,220
datos/dna_128.fasta,antidiagonal,1,2,static,128,128,2,-1,-2,0.1166,1.4364,0.0488,1.6018,220
datos/dna_128.fasta,antidiagonal,1,2,static,128,128,2,-1,-2,0.1555,1.4360,0.0511,1.6427,220
datos/dna_128.fasta,antidiagonal,1,2,static,128,128,2,-1,-2,0.1150,1.4468,0.0492,1.6111,220
datos/dna_128.fasta,antidiagonal,1,2,static,128,128,2,-1,-2,0.1210,1.6032,0.0513,1.7755,220
datos/dna_128.fasta,antidiagonal,1,2,static,128,128,2,-1,-2,0.1169,1.4650,0.0766,1.6586,220
datos/dna_128.fasta,antidiagonal,1,2,static,128,128,2,-1,-2,0.1165,1.4287,0.0499,1.5952,220
datos/dna_128.fasta,antidiagonal,1,2,static,128,128,2,-1,-2,0.1167,1.5567,0.0504,1.7238,220
datos/dna_128.fasta,antidiagonal,1,2,static,128,128,2,-1,-2,0.1159,1.4954,0.0491,1.6604,220
datos/dna_128.fasta,antidiagonal,1,2,static,128,128,2,-1,-2,0.1156,1.5029,0.0496,1.6681,220
datos/dna_128.fasta,antidiagonal,1,2,static,128,128,2,-1,-2,0.1177,1.5239,0.0509,1.6924,220
datos/dna_128.fasta,antidiagonal,1,2,static,128,128,2,-1,-2,0.1163,1.4658,0.0485,1.6306,220
datos/dna_128.fasta,antidiagonal,1,2,static,128,128,2,-1,-2,0.1153,1.4686,0.0497,1.6336,220
datos/dna_128.fasta,antidiagonal,1,2,static,128,128,2,-1,-2,0.1173,1.4676,0.0491,1.6340,220
datos/dna_128.fasta,antidiagonal,1,2,static,128,128,2,-1,-2,0.1181,1.4605,0.0503,1.6290,220
datos/dna_128.fasta,antidiagonal,1,2,static,128,128,2,-1,-2,0.1175,1.4731,0.0498,1.6404,220
